english_text,chinese_text,entities
"But what it turned out to be, was that my staff was extremely upset because one of the wire services in Nigeria had already written a story about my speech, and it had already been printed in cities all across the United States of America.",但是结果证明原来是我的员工的极度烦躁 因为尼尔利亚有一家通讯社已经把我的演讲写成一个故事 并且已经印出来在全美发行了,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}, {'original_entity': 'Nigeria', 'translated_entity': '尼日利亚', 'entity_type': 'GPE'}, {'original_entity': 'the United States of America', 'translated_entity': '美国', 'entity_type': 'GPE'}]"
"It was printed in Monterey, I checked.  And the story began, ""Former Vice President Al Gore announced in Nigeria yesterday,"" quote: 'My wife Tipper and I have opened a low-cost family restaurant'"" --  ""'named Shoney's, and we are running it ourselves.'"" Before I could get back to U.S. soil, David Letterman and Jay Leno had already started in on -- one of them had me in a big white chef's hat,","-- 我查过了是在蒙特利尔印刷的，而写的故事则是这样开头的， ”前副总统艾尔·戈尔前天在尼尔利亚声明， ‘我与我妻子Tipper开了一家低成本家庭连锁餐厅，名为Shoney's, 而且是有我们自己经营的。“ 在我回到美国本土前， 戴维莱特曼和杰伊莱诺已经开始在搞这些生意了 -- 他们中的一个人还让我戴了个很大的大厨帽呢，","[{'original_entity': 'Monterey', 'translated_entity': '蒙特雷', 'entity_type': 'GPE'}, {'original_entity': 'Al Gore', 'translated_entity': '阿尔·戈尔', 'entity_type': 'PERSON'}, {'original_entity': 'Nigeria', 'translated_entity': '尼日利亚', 'entity_type': 'GPE'}, {'original_entity': 'yesterday', 'translated_entity': '昨天', 'entity_type': 'DATE'}, {'original_entity': 'Tipper', 'translated_entity': '蒂珀', 'entity_type': 'PERSON'}, {'original_entity': 'Shoney', 'translated_entity': '肖尼', 'entity_type': 'PERSON'}, {'original_entity': 'U.S.', 'translated_entity': '美国', 'entity_type': 'GPE'}, {'original_entity': 'David Letterman', 'translated_entity': '戴维·莱特曼', 'entity_type': 'PERSON'}, {'original_entity': 'Jay Leno', 'translated_entity': '傑·萊諾', 'entity_type': 'PERSON'}, {'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
"Tipper was saying, ""One more burger with fries!""","Tipper还说,""再来一个汉堡包加薯条！“","[{'original_entity': 'Tipper', 'translated_entity': '蒂珀', 'entity_type': 'PERSON'}, {'original_entity': 'One', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
"I got a nice, long, handwritten letter from my friend and partner and colleague Bill Clinton, saying, ""Congratulations on the new restaurant, Al!""",三天后，我从我的朋友兼伙伴兼同事比尔克林顿哪里收到一封 手写，精美兼很长的一封信，内容是，”艾尔，祝新餐馆开张！”,"[{'original_entity': 'Bill Clinton', 'translated_entity': '比尔·克林顿', 'entity_type': 'PERSON'}]"
We like to celebrate each other's successes in life.,我们喜欢在对方成功的时候互相祝福,[]
I was going to talk about information ecology.,我要谈一谈信息生态学。,[]
"But I was thinking that, since I plan to make a lifelong habit of coming back to TED, that maybe I could talk about that another time.  Chris Anderson: It's a deal!",但是我又在想也许我可能计划把TED演讲当作我毕生的习惯， 那样的话也许我可以在其他的时候讲-指信息生态学（鼓掌） 克里斯 安德森： 一言为定！,"[{'original_entity': 'TED', 'translated_entity': 'TED', 'entity_type': 'PERSON'}, {'original_entity': 'Chris Anderson', 'translated_entity': '克里斯·安德森', 'entity_type': 'PERSON'}]"
"Al Gore: I want to focus on what many of you have said What can you do about the climate crisis? I want to start with a couple of -- I'm going to show some new images, and I'm going to recapitulate just four or five.",我现在主要想谈一谈你们最关心的问题 对于气候危机你可以做什么呢？我想从这点开始谈-- 我要给你们展示一些新的照片，当然还有四五张也需要要重新展示,"[{'original_entity': 'Al Gore', 'translated_entity': '阿尔·戈尔', 'entity_type': 'PERSON'}, {'original_entity': 'just four or five', 'translated_entity': '只有四个或五个', 'entity_type': 'CARDINAL'}]"
"Now, the slide show. I update the slide show every time I give it.",现在看幻灯片，我每次都会更新这些幻灯片的。,[]
"I add new images, because I learn more about it every time I give it.",我每次更新的时候都会加新的图片进去，其中也许到了许多新的。,[]
"It's like beach-combing, you know?",就像那些在潮汐间隔的海滩中找宝物一般，,[]
"Every time the tide comes in and out, you find some more shells.",你会找到更多的贝壳。,[]
"Just in the last two days, we got the new temperature records in January.",刚刚在昨天，我们就得到了新的一月份的温度记录。,"[{'original_entity': 'the last two days', 'translated_entity': '过去两天', 'entity_type': 'DATE'}, {'original_entity': 'January', 'translated_entity': '1月', 'entity_type': 'DATE'}]"
This is just for the United States of America. Historical average for Januarys is 31 degrees; last month was 39.5 degrees.,这仅仅是美国的，一月份的历史平局记录是31度。 上个一月份是39.5度。,"[{'original_entity': 'the United States of America', 'translated_entity': '美国', 'entity_type': 'GPE'}, {'original_entity': '31 degrees', 'translated_entity': '31度', 'entity_type': 'QUANTITY'}, {'original_entity': 'last month', 'translated_entity': '上个月', 'entity_type': 'DATE'}, {'original_entity': '39.5 degrees', 'translated_entity': '39.5度', 'entity_type': 'QUANTITY'}]"
"Now, I know that you wanted some more bad news about the environment -- I'm kidding. But these are the recapitulation slides, and then I'm going to go into new material about what you can do.",现在，我知道你想要更多的关于环境的坏新闻 --只是个玩笑-- 但这些只是重述幻灯片， 然后我将会谈论关于你能做什么的新内容。,[]
But I wanted to elaborate on a couple of these.,但我想先说明下这些东西。,[]
"First of all, this is where we're projected to go with the U.S. contribution to global warming, under business as usual. Efficiency in end-use electricity and end-use of all energy is the low-hanging fruit. Efficiency and conservation -- it's not a cost; it's a profit.",首先，这是我们估计到的关于美国对全球温室效应的贡献， 在普通情况下对于电力和能源的最终使用的效率 就像踮脚就能够着的果实，非常低的。 效率和对自然环境的保护：,"[{'original_entity': 'First', 'translated_entity': '第一', 'entity_type': 'ORDINAL'}, {'original_entity': 'U.S.', 'translated_entity': '美国', 'entity_type': 'GPE'}]"
The sign is wrong.,不是成本，而是利润。 信号是错误的。,[]
It's not negative; it's positive. These are investments that pay for themselves.,不是负面效应，而是正面的。这些都是为自己支付的投资。,[]
But they are also very effective in deflecting our path.,但是它们在转移我们思想的时候也是非常有效的。,[]
"Cars and trucks -- I talked about that in the slideshow, but I want you to put it in perspective.",汽车和火车--我在上次幻灯片的时候谈到过， 但是我希望你们能够先思考一下。,[]
"It's an easy, visible target of concern -- and it should be -- but there is more global warming pollution that comes from buildings than from cars and trucks.",这应该是我们所忧虑的目标里比较容易和显而易见的一个了， 但是相对于汽车和货车，对于全球温室效应的污染则更多 来自于建筑物。,[]
"Cars and trucks are very significant, and we have the lowest standards in the world.",汽车和货车是非常明显的，因为我们的标准是全世界最低的。,[]
And so we should address that. But it's part of the puzzle.,这样的话我们应该解决这个问题，但是这又是个伤脑筋的难题。,[]
Other transportation efficiency is as important as cars and trucks.,其他交通工具的效率当然也应和汽车货车一样！,[]
"Renewables at the current levels of technological efficiency can make this much difference. And with what Vinod, and John Doerr and others, many of you here -- there are a lot of people directly involved in this -- this wedge is going to grow much more rapidly than the current projection shows it.",可再生能源目前水平的技术效率 可以大大的改变现状， 而且还有维诺德和约翰·多尔等等 你们中的许多人直接参与其中 --这个楔形的成长要比我们目前所预计的要迅速的多。,"[{'original_entity': 'Vinod', 'translated_entity': '維諾德', 'entity_type': 'PERSON'}, {'original_entity': 'John Doerr', 'translated_entity': '約翰·多爾', 'entity_type': 'PERSON'}]"
Carbon Capture and Sequestration -- that's what CCS stands for -- is likely to become the killer app that will enable us to continue to use fossil fuels in a way that is safe.,碳捕捉及封存技术--就是CCS代表的意思 --很有可能变成杀手级的应用 它将使我们能够继续安全的使用矿物燃料。,"[{'original_entity': 'Carbon Capture and Sequestration', 'translated_entity': '碳捕获和储存', 'entity_type': 'ORG'}, {'original_entity': 'CCS', 'translated_entity': 'CCS', 'entity_type': 'ORG'}]"
Not quite there yet.,不过技术上还不是非常的成熟。,[]
"OK. Now, what can you do? Reduce emissions in your home.","OK,现在，你在家里可以做什么来减少排放呢？",[]
Most of these expenditures are also profitable.,大多数这些支出也是有利可图的。,[]
"Insulation, better design. Buy green electricity where you can.",尽可能的购买绝缘，更优设计和绿色电力的产品。,[]
I mentioned automobiles -- buy a hybrid. Use light rail.,如同我提到的汽车--购买混合动力或者坐轻轨。,[]
Figure out some of the other options that are much better. It's important.,想出一些其他更好的替代方案，这是非常重要的。,[]
"Be a green consumer. You have choices with everything you buy, between things that have a harsh effect, or a much less harsh effect on the global climate crisis.",成为一个环保消费者，对于你买的所有东西都要选择， 比较哪个产品对于全球气候危机的影响大,[]
Consider this: Make a decision to live a carbon-neutral life.,还是小 考虑这点，下决心去拥有一个碳中性的生活。,[]
"Those of you who are good at branding, I'd love to get your advice and help on how to say this in a way that connects with the most people.",对于你们中那些熟悉品牌运作的人， 我希望可以从你们那里得到建议和帮助 关于如何让人知道这是关乎大多数人的利益。,[]
It is easier than you think. It really is.,这比你想象的要容易些，真的。,[]
"A lot of us in here have made that decision, and it is really pretty easy.",你们中的许多人已经做出了合适的决定，这真的是相当容易。,[]
"It means reduce your carbon dioxide emissions with the full range of choices that you make, and then purchase or acquire offsets for the remainder that you have not completely reduced. And what it means is elaborated at climatecrisis.net.",在做各种选择前尽量选那些可以减少二氧化碳排放量的， 而且还要对那些没做到的决定作出合适的补偿 具体什么意思可以看 climatecrisis.net 网站上的说明。,[]
"There is a carbon calculator. Participant Productions convened -- with my active involvement -- the leading software writers in the world, on this arcane science of carbon calculation, to construct a consumer-friendly carbon calculator.",哪里有个碳排量计算器。可以计算你的碳排放量。 由于我积极的参与其中，全球最棒的软件设计师 根据碳排放的计算公式设计出这个 非常友好的碳排放计算器.,"[{'original_entity': 'Participant Productions', 'translated_entity': '参与制作', 'entity_type': 'ORG'}]"
"You can very precisely calculate what your CO2 emissions are, and then you will be given options to reduce.",你可以非常精确的计算出你的碳排放量. 然后还会给出如何减少碳排放的建议.,[]
"And by the time the movie comes out in May, this will be updated to 2.0, and we will have click-through purchases of offsets.","等五月份电影出来的时候,这个版本也会升级到2.0. 更新中包括能够购买碳排放抵消的功能","[{'original_entity': 'May', 'translated_entity': '五月', 'entity_type': 'DATE'}, {'original_entity': '2.0', 'translated_entity': '2.0', 'entity_type': 'CARDINAL'}]"
"Next, consider making your business carbon-neutral. Again, some of us have done that, and it's not as hard as you think. Integrate climate solutions into all of your innovations, whether you are from the technology, or entertainment, or design and architecture community.",接下来，关于如何使你的商业碳中和化，当然，我们中的许多人已经做到了。 其实这不是你想的那么难，只要把气候危机解决方案融入到所有的革新当中。 不管你是处于科技领域或娱乐事业， 或设计行业和社区建筑。,[]
Invest sustainably. Majora mentioned this.,持续的投资，姆吉拉提及过这个。,"[{'original_entity': 'Majora', 'translated_entity': '马约拉', 'entity_type': 'PERSON'}]"
"Listen, if you have invested money with managers who you compensate on the basis of their annual performance, don't ever again complain about quarterly report CEO management.",听着，如果你必须要和一个他的报酬是基于 年度绩效的经理人的话。 别再抱怨季度报告里关于首席执行官的管理,"[{'original_entity': 'annual', 'translated_entity': '每年', 'entity_type': 'DATE'}, {'original_entity': 'quarterly', 'translated_entity': '每季度', 'entity_type': 'DATE'}]"
"Over time, people do what you pay them to do.",久而久之，人们会做你付钱让他们去做的事，而且如果他们断定,[]
"And if they judge how much they're going to get paid on your capital that they've invested, based on the short-term returns, you're going to get short-term decisions.",基于他们投资的多少而获得多少的话。 根据短期回报率，你必须做出短期决策。,[]
A lot more to be said about that.,关于这个有太多需要说了。,[]
"Become a catalyst of change. Teach others, learn about it, talk about it.",成为一个促进改变的人，教导其他人，学习它，讨论它。,[]
"The movie is a movie version of the slideshow I gave two nights ago, except it's a lot more entertaining.",关于电影发行--其实电影只是这个幻灯片我2天前演讲的的电影版本 除了电影比较更具娱乐性，电影在五月份发行。,"[{'original_entity': 'two nights ago', 'translated_entity': '两晚前', 'entity_type': 'DATE'}]"
And it comes out in May. Many of you here have the opportunity to ensure that a lot of people see it.,你们中的许多人有机会可以让更多的人去看这个电影。,"[{'original_entity': 'May', 'translated_entity': '五月', 'entity_type': 'DATE'}]"
Consider sending somebody to Nashville.,考虑送一些人去纳什维尔看。,"[{'original_entity': 'Nashville', 'translated_entity': '纳什维尔', 'entity_type': 'GPE'}]"
"Pick well. And I am personally going to train people to give this slideshow -- re-purposed, with some of the personal stories obviously replaced with a generic approach, and it's not just the slides, it's what they mean. And it's how they link together.",然后我个人也会训练一些人去做这个演讲，重新利用. 其中的一些明显的个人故事只好用一般方法代替了。 当然不只只是这些幻灯片，而是它们蕴含的意思以及如何使他们联系起来。,[]
"And so I'm going to be conducting a course this summer for a group of people that are nominated by different folks in communities all across the country, and we're going to update the slideshow for all of them every single week, to keep it right on the cutting edge.",这样的话我就会在今年夏天带一个课程 给那帮获得提名的人们上一课。 全体的，在全国各地的社区， 每个星期我们也会为他们更新这些幻灯片 来保证资料都处在最前沿。,"[{'original_entity': 'this summer', 'translated_entity': '这个夏天', 'entity_type': 'DATE'}, {'original_entity': 'every single week', 'translated_entity': '每星期', 'entity_type': 'DATE'}]"
"Working with Larry Lessig, it will be, somewhere in that process, posted with tools and limited-use copyrights, so that young people can remix it and do it in their own way.",和拉里·莱斯格一起工作，那会是，在过程中的某个阶段。 用工具和限量使用版权来张贴， 那样的话年轻人就可以用他们自己的方法重新制作。,"[{'original_entity': 'Larry Lessig', 'translated_entity': '拉里·莱西格', 'entity_type': 'PERSON'}]"
Where did anybody get the idea that you ought to stay arm's length from politics?,人们都是从哪里得知应该跟政治保持距离呢？,[]
"It doesn't mean that if you're a Republican, that I'm trying to convince you to be a Democrat.",这无关你是否是共和党人然后我要说服你变成一个民主党人士。,"[{'original_entity': 'Republican', 'translated_entity': '共和党人', 'entity_type': 'NORP'}, {'original_entity': 'Democrat', 'translated_entity': '民主党人', 'entity_type': 'NORP'}]"
"We need Republicans as well. This used to be a bipartisan issue, and I know that in this group it really is. Become politically active.",我们也需要共和党人。这是个两党连立的问题， 据我所知这在我们这个团体里面的确是如此的。变成政治活跃人士。,"[{'original_entity': 'Republicans', 'translated_entity': '共和党人', 'entity_type': 'NORP'}]"
Make our democracy work the way it's supposed to work.,使我们的民主照着原本应该的方式来运作。,[]
Support the idea of capping carbon dioxide emissions -- global warming pollution -- and trading it.,支持关于二氧化碳排放和全球温室效应污染的理念，,[]
"Here's why: as long as the United States is out of the world system, it's not a closed system.",并且补偿这一切，这是因为，由于美国在这个世界体系之外， 但是这又不是个封闭的体系。,"[{'original_entity': 'the United States', 'translated_entity': '美国', 'entity_type': 'GPE'}]"
"Once it becomes a closed system, with U.S. participation, then everybody who's on a board of directors -- how many people here serve on the board of directors of a corporation?",但是一旦它变成了封闭的体系，不管美国是否参与， 那样的话每个人都成为董事会成员了 --这里有多少人是公司里面的董事会成员呢？,"[{'original_entity': 'U.S.', 'translated_entity': '美国', 'entity_type': 'GPE'}]"
"Once it's a closed system, you will have legal liability if you do not urge your CEO to get the maximum income from reducing and trading the carbon emissions that can be avoided.",一旦它成为一个封闭的体系，你将背负法律上的责任如果你不督促你的CEO 从减少和补偿可以避免的碳排放方面获得最大的收入。,[]
The market will work to solve this problem -- if we can accomplish this.,如果我们能够实现它的话那么市场先生将会自己去解决这个问题。,[]
Help with the mass persuasion campaign that will start this spring.,从今年春天开始的大众劝说运动的帮助。,"[{'original_entity': 'this spring', 'translated_entity': '这个春天', 'entity_type': 'DATE'}]"
We have to change the minds of the American people.,我们必须去改变美国人民的观念。,"[{'original_entity': 'American', 'translated_entity': '美国人', 'entity_type': 'NORP'}]"
"Because presently, the politicians do not have permission to do what needs to be done.",因为现在的政治不允许去做一些需要做的事。,[]
"And in our modern country, the role of logic and reason no longer includes mediating between wealth and power the way it once did.",在一个现代化国家，逻辑和理性的作用已不再只包括 以前所做的关于财富和权力的调解。,[]
"It's now repetition of short, hot-button, 30-second, 28-second television ads.",现在已经是短的，热门的，30秒，28秒的电视广告的重复播放。,"[{'original_entity': '30-second', 'translated_entity': '30秒', 'entity_type': 'TIME'}, {'original_entity': '28-second', 'translated_entity': '28秒', 'entity_type': 'TIME'}]"
We have to buy a lot of those ads.,我们必须要买许多这样的广告。,[]
"Let's re-brand global warming, as many of you have suggested.",让我们把全球变暖这个品牌重新包装一下，就如许多人建议的那样。,[]
"I like ""climate crisis"" instead of ""climate collapse,"" but again, those of you who are good at branding, I need your help on this.",相对于气候崩溃我更喜欢气候危机这个叫法， 老调重谈一下，如果你们谁对品牌运作方面相当在行的话，我需要你们的帮助。,[]
"Somebody said the test we're facing now, a scientist told me, is whether the combination of an opposable thumb and a neocortex is a viable combination.",有个科学家告诉我，有人说我们现在面对的检验是， 对生拇指和新皮层的组合是否是 一种可以实行的组合。,[]
"That's really true. I said the other night, and I'll repeat now: this is not a political issue.",这是真的。上次我也说过了，但是我现在再重复一次：这不是政治问题。,[]
"Again, the Republicans here -- this shouldn't be partisan.",今天来的共和党人们，这不应该是党派性的。,"[{'original_entity': 'Republicans', 'translated_entity': '共和党人', 'entity_type': 'NORP'}]"
You have more influence than some of us who are Democrats do.,你甚至比在我们这里的有些共和党人更加具有影响力。,"[{'original_entity': 'Democrats', 'translated_entity': '民主党人', 'entity_type': 'NORP'}]"
"This is an opportunity. Not just this, but connected to the ideas that are here, to bring more coherence to them.",这不止是个很好的机会，更可以把今天我们在这里的想法连接到 并一致的带给其他人。,[]
We are one.,我们是整体。,[]
"Thank you very much, I appreciate it.",谢谢感谢，我非常的感激。,[]
"In terms of invention, I'd like to tell you the tale of one of my favorite projects.",说到发明 我想跟你们说说我最得意的一个项目,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
"I think it's one of the most exciting that I'm working on, but I think it's also the simplest.",我觉得它是我现在做的最令我兴奋的项目 同时也是最简单的一个,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
It's a project that has the potential to make a huge impact around the world.,这个项目很可能极大地影响世界,[]
"It addresses one of the biggest health issues on the planet, the number one cause of death in children under five.",它能解决目前世界上最严重的健康问题之一 这个问题是5岁以下儿童死亡的头号杀手,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}, {'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}, {'original_entity': 'under five', 'translated_entity': '五岁以下', 'entity_type': 'DATE'}]"
Which is ...? Water-borne diseases? Diarrhea? Malnutrition?,是什么呢？ 水媒传染疾病？痢疾？营养不良？,"[{'original_entity': 'Diarrhea', 'translated_entity': '腹泻', 'entity_type': 'PERSON'}]"
No. It's breathing the smoke from indoor cooking fires -- acute respiratory infections caused by this. Can you believe that?,都不对，是吸入厨房油烟 导致急性呼吸道感染，你相信吗？,[]
I find this shocking and somewhat appalling.,我感到很震惊也很可怕,[]
Can't we make cleaner burning cooking fuels?,我们能否发明更清洁的炊事燃料？,[]
Can't we make better stoves?,更好的炉灶？,[]
How is it that this can lead to over two million deaths every year?,这个问题为何每年能杀死200多万人呢？,"[{'original_entity': 'over two million', 'translated_entity': '超过两百万人', 'entity_type': 'CARDINAL'}, {'original_entity': 'every year', 'translated_entity': '每年', 'entity_type': 'DATE'}]"
"I know Bill Joy was talking to you about the wonders of carbon nanotubes, so I'm going to talk to you about the wonders of carbon macro-tubes, which is charcoal.  So this is a picture of rural Haiti. Haiti is now 98 percent deforested.",我知道Bill Joy和大家讲过 碳纳管的奇妙之处 那今天我就和大家讲讲 大碳管也就是木炭的妙用 这是一张海地乡村的照片，海地国土面积的98%如今都没有森林覆盖了,"[{'original_entity': 'Bill Joy', 'translated_entity': '比尔·乔伊', 'entity_type': 'PERSON'}, {'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}, {'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}, {'original_entity': '98 percent', 'translated_entity': '98%', 'entity_type': 'PERCENT'}]"
You'll see scenes like this all over the island.,整个海地岛屿都是这幅景象,[]
It leads to all sorts of environmental problems and problems that affect people throughout the nation.,这造成了各种环境问题 以及一些影响海地人民的其他问题,[]
A couple years ago there was severe flooding that led to thousands of deaths -- that's directly attributable to the fact that there are no trees on the hills to stabilize the soil.,几年前一场洪水肆虐 夺走了几千人的生命 这都是因为 山上没有树来巩固土壤,"[{'original_entity': 'A couple years ago', 'translated_entity': '几年前', 'entity_type': 'DATE'}, {'original_entity': 'thousands', 'translated_entity': '数千', 'entity_type': 'CARDINAL'}]"
So the rains come -- they go down the rivers and the flooding happens.,所以一旦下雨，雨水混杂泥土直接冲入河流，造成洪灾,[]
"Now one of the reasons why there are so few trees is this: people need to cook, and they harvest wood and they make charcoal in order to do it.",这里没树主要是因为 人们烧饭需要燃料 于是人们把木材做成木炭,[]
It's not that people are ignorant to the environmental damage.,并不是海地人不重视环境保护,[]
