Chinese Sentence,Chinese NER Tagged
你常能看到这样一家人一起去森林里 砍了树，再做成木炭,[]
毫无疑问，人们已经很努力 找寻这种燃料的替代品了,[]
4年前，我和一群学生去海地 和当地的和平队志愿者一起工作,"[('海地', 'ns', 10, 11)]"
有一个志愿者 在他呆的村庄里发明了这个小玩意儿,[]
就是把废纸 压缩成块状用来燃烧,[]
但是它烧得很慢,[]
我们工程系的学生就拿来改良了一下 做了一点小改动之后 它的效率提高了3倍,[]
他们当时非常激动,[]
后来他们还把这些纸砖块带回麻省大学做测试,"[('麻省大学', 'nt', 9, 11)]"
结果却发现这些东西不能燃烧,[]
学生们都挺失望的,[]
如果你仔细看，在这儿， 你就会发现“美国和平队”字样,"[('美国', 'ns', 13, 14)]"
因为在那个村庄里根本没废纸,[]
或许这仪器用来处理政府文书倒是挺好的 让那个志愿者把政府文书带回到那个村子 不过政府机关离那个村子有足足800公里之遥,[]
所以我们就想琢磨个更好的办法 来制造炊事燃料的替代品,[]
我们希望这种新燃料 能就地取材,[]
海地到处都有小规模的制糖厂,"[('海地', 'ns', 0, 1)]"
这些厂的废料 也就是榨完甘蔗之后剩下的东西叫“甘蔗渣”,[]
这个没啥用，也没营养价值 当饲料都不够好,[]
人们就把成堆的甘蔗渣堆在制糖厂外，最后拿来烧掉,[]
而我们就想 变废为宝 把那些甘蔗渣做成人人都能方便使用的燃料 就像木炭一样,[]
接下来的几年时间里，我和我的学生就在开发合适的生产工艺,[]
首先我们把甘蔗渣放入一个窑炉 这种炉子很好做，拿一个废弃的55加仑容积的油桶就可以改装了,[]
然后我们点燃甘蔗渣，让它烧一小会儿以后就把炉封好 不要让空气进去 最后就制成了这种炭化材料,[]
但是，这个不好用，因为颗粒太细了,[]
用来烧饭的话一下就烧完了,[]
所以我们就设法把它压缩成块,[]
正好，我的一个学生是加纳人 记得他母亲给他做过一道菜叫“木薯糊” 就是用木薯的根烧成的很稠的粥,"[('加纳', 'ns', 7, 8)]"
于是我们就四下寻找 发现海地也种植木薯，只不过叫法不同,[]
其实世界上很多地方都有木薯 虽然名称各异，东西都是一样的 就是含淀粉的食用其块状根的植物,[]
你可以把它做成糊 再用这个糊把木炭块粘在一起,[]
我们就这么做了。 后来我们又去海地,"[('海地', 'ns', 10, 11)]"
这些研究生就是第一所 木炭学院的学生,[]
没错，所以我既是麻省理工的导师也是木碳学院的导师,"[('麻省理工', 'nt', 7, 9), ('木碳学院', 'nt', 13, 15)]"
这些就是我们做的炭砖,[]
现在我们到亚洲再来看看印度 这是印度最常见的炊事燃料——牛粪,"[('亚洲', 'ns', 3, 4), ('印度', 'ns', 7, 8), ('印度', 'ns', 10, 11)]"
这产生的油烟比海地的还厉害 你看，健康问题 就是因为燃烧牛粪或其他生物燃料造成的,"[('海地', 'ns', 5, 6)]"
儿童和妇女尤受影响 因为他们经常在厨房里转悠,[]
我们想看看是否能引进 之前的制炭技术,[]
可惜，印度没甘蔗 也没木薯，但这些都难不倒我们,"[('印度', 'ns', 2, 3)]"
我们还是就地取材,[]
用这里的麦秆和稻秆加工成燃料,[]
至于粘合剂 就用少量的牛粪 而原本这些牛粪都是直接做燃料的,[]
我们做了些对比试验，大家可以看到 炭砖和牛粪做对比,[]
很明显炭砖清洁得多,[]
而且烧水速度也快很多,[]
所以我们都很开心,[]
但是我们发现 和一般木炭比 炭砖不持久，一下就碎了 于是热量就分散开来，导致烧饭的时候很费力,[]
我们就想办法把炭砖做得更紧实 这样就能和海地市场上的木炭竞争了,"[('海地', 'ns', 15, 16)]"
我们回到麻省，找出英斯特朗电子强力测试仪 分析出用多少压缩力度 压缩出的炭砖 会有一个质的飞跃,"[('麻省', 'ns', 2, 3), ('英斯特朗', 'nr', 5, 6)]"
一方面我的学生们在实验室里研究 一方面海地的社区伙伴也同我们合作 努力改良炭砖，让人人都用得上,"[('海地', 'ns', 10, 11)]"
一段时间之后 我们发明了低成本制木炭法，新的产品 比一般木炭燃烧更持久也更清洁,[]
所以我们现在就有一个 比海地市场上的木炭更好的产品 这是一个很好的状况,"[('海地', 'ns', 7, 8)]"
仅海地一国，每年就有3000万棵树被砍伐,[]
这个产品如果能得到应用 能救很多树,[]
另外，这种新木炭每年能创收2.6亿美元,[]
这可是一大笔钱 海地人口800万 人均收入不足400美元,"[('海地', 'ns', 7, 8)]"
因此我们想在海地继续这个木炭项目,"[('海地', 'ns', 4, 5)]"
还有一件有意思的事情是 我有个朋友在伯克利大学是做风险研究的,"[('伯克利大学', 'nt', 12, 14)]"
他研究了对健康 木材和木炭分别会造成什么影响 他发现只要改用木炭作燃料,[]
在世界范围内就能有100万人可以幸免于难 这真是很棒 本来做木炭都是需要木材的,[]
但现在我们能 变农业废物为炊事燃料,[]
最让人激动的是 上个月我去加纳时了解到的一个信息,"[('加纳', 'ns', 11, 12)]"
这个不但非常酷 而且在技术层面上也比前面的那些更简单 如果你们能想象的到的话。就是这个。,[]
这是什么呢？这是把玉米棒做成木炭,[]
这个的好处就是你都不需要把炭压缩成块 因为玉米棒本来就是一块块的。 这就是我的100美元手提电脑项目了,[]
和尼克一样，我也带了样品给大家,"[('尼克', 'nr', 1, 2)]"
大家相互传一下,[]
很好用，经过测试，能立刻燃烧,[]
这项技术妙在 容易转让,[]
就甘蔗木炭而言 我们要培训当地人如何压缩木炭 还要多出一步制粘合剂 玉米棒木炭自己成型，不需经过压缩的步骤 而这是我一生中最让我激动的事了 也是我一个小小的遗憾的注脚,[]
但是一旦你见过，就像第一排的人 恩，对，反正,[]
我觉得这是最能 体现罗伯特.怀特说的非零和事物,"[('罗伯特', 'nr', 7, 8), ('怀特', 'nr', 9, 10)]"
这不光有利健康 有利环境,[]
更难得的是 还有经济效益,[]
人们用废农作物就可以烧饭,[]
还能赚钱,[]
他们能省下原本买木炭的钱 自己生产销售 卖给别人,[]
难得的是，这不会造成 健康与经济发展，或环境与经济不可兼得的窘境,[]
所以这个项目最振奋人心了 我期望看到它未来的发展前景,[]
讲到未来 我觉得有必要 清晰地认识我们所处的这个世界,[]
我不是指我们自己生活的这个小世界,[]
而是另一个世界。在那里，妇女每天花2-3个小时 碾谷才能养活家人,[]
在那里，所谓的高级建材 其实就是人工造的水泥屋顶板 在那里，就算你一天做10小时 一个月也才赚60美元,[]
在那里，妇女和儿童成天做的就是打水，一年400亿小时,[]
工时相当加州所有劳动力的集合 整年全职打水,"[('加州', 'ns', 2, 3)]"
如果这里是印度 那么在坐的只有三分之一的人有车,"[('印度', 'ns', 3, 4)]"
如果是阿富汗 在坐的只有一人知道怎么上网,"[('阿富汗', 'ns', 2, 3)]"
如果是赞比亚，你们中就有300个农民 100个人有艾滋病或感染艾滋病毒,"[('赞比亚', 'ns', 2, 3)]"
一半以上的人日收入不足1美元,[]
这些问题都摆在我们面前,[]
需要我们培训工程师 设计师，商人，企业家来解决,[]
这些才是需要尽快解决的问题,[]
有些问题我觉得特别重要,[]
一个就是寻找技术来推广小型金融和小型企业 那生活在贫困线以下的人就有了出路 而不是像现在这样 通过传统的编篮子、养家禽来谋生,[]
现在我们已经有了 能小规模运作的新技术和新产品,[]
另外，我们还需要为贫苦农民发明新技术 增加农作物价值,[]
我们还需要重新思考我们的发展策略 推广教育 不是让他们都不做农民 而是不做穷苦农民,[]
我们还要思考如何提高效率,[]
我们需要和社区合作 提供他们所需的资源和工具 来解决他们的问题。这是最好的方法,[]
我们不能只做外在的努力,[]
我们要创造未来，就要从现在开始,[]
谢谢,[]
（鼓掌） 主持人安德森：我们来看看有没有观众要提问的 与此同时你能不能再说说你做过的其他事情,"[('安德森', 'nr', 4, 5)]"
艾米.史密斯：现在我们在研究 低成本水质测试法 帮助社区维护水系统 使他们知道他们的系统什么时候有效，什么时候需要清洁处理等等,"[('艾米.史密斯', 'nr', 0, 1)]"
我们也在寻求低成本水治理系统,[]
比如利用太阳能消毒，这很棒的 但我们还需要提高它的效率,[]
主持人：有什么瓶颈问题会阻碍这项技术得到推广？,[]
是否需要企业家，风险资本帮助 或是其他帮助推广该技术？,[]
艾米.史密斯：要的，这需要很多人合作,"[('艾米.史密斯', 'nr', 0, 1)]"
这很难，因为这个市场很零散 消费群体又没什么收入,[]
所以美国的商业模式 不能助其发展,"[('美国', 'ns', 1, 2)]"
而且我们人手不足，就我一个光杆司令,[]
所以我和我的学生会尽我们所能,[]
我们有30个学生在这个领域研究 如何应用并推广这些技术,[]
另外，这些事是长期工程 不可能一蹴而就 这需要5-10年时间,[]
但是我相信只要有信心我们就能成功,[]
“共和”概念，正如美国哲学家杜威很久之前所观察到的， 通过辩论和讨论而成。,"[('美国', 'ns', 6, 7), ('杜威', 'nr', 8, 9)]"
如果我们质疑暴政的假想， 避免不经推敲的教条， 那么我们必须愿意把自己的假想 进行讨论辨伪。,[]
正是秉着这种精神我才来此参与讨论 这个我们时代的关键议题， 即如何调动各式各样的资本 为国家重建服务。,[]
首先明晰我们的假设， 资本主义经过150年的发展已被广为接受， 民主亦然。,[]
如果我们回看1945年的世界， 并且查看当时资本主义经济体系及民主政治版图， 它们只是少数，并非主流。,[]
然而目前的问题是， 选择何种资本主义体制 及何种民主参与机制。,[]
但我们必须承认 此刻要唤起 宝贵的共识达成一致。,[]
及提供基础 以促成一种行动， 因为每个时刻的共识 能让我们共同行动。,[]
而且这是必须的，不管 我们的共识如何脆弱或短暂， 共识能让我们前进。,[]
但是世界大部分地区 既没有从资本主义体系获利 也没有从民主体系里获利。,[]
全球大部分国家的经历 都是认为美国是压抑性的 作为一种 关注拒绝权利 否认正义的组织， 而不是提供权利和正义的机构。,"[('美国', 'ns', 8, 9)]"
从资本主义发展历程来看， 其全球经验 主要有两方面，,[]
首先是资源采掘,[]
血钻，宝石走私， 木材， 从穷国掠夺财富。,[]
其次是技术援助。,[]
技术援助和你想的不一样， 但它是当今最差劲的形式， 它表现出了发达国家对发展中国家,[]
想象一下上百亿美元 被一些人投入能力建设 他们每天最高得到1500美元， 却不能 创造性地 独立地思考。,[]
其次，当然我对 6月７日的事件 深表同情，还有９１１， 这些都提醒我们 我们不是生活在三个不同的世界，,[]
而是一个。,[]
简单点儿说,[]
我们并不是在和 我们所生活的世界的含义打交道。,[]
也就是说，如果我们想要拥有一个世界， 这个世界是不能建立在 先有巨大的排斥， 然后再对其中一些进行包容之上的。,[]
我们现在终于必须来思考一下 一个真正的全球型世界 的前提是什么， 与权力政权和 责任感和可靠性之间的关系 在全球维度内是怎样的。,[]
否则我们将会 丢失这个历史上的开放时刻， 一个我们在政治 和经济的形式 达成共识的时刻。,[]
这三个组织中该选哪一个呢？,[]
我们有3个很关键的术语： 经济， 公民社会 和国家。,[]
我并不涉及前两个，只能说 不加批判的对假设的转移 从一个语境到另一个语境之下， 只可能酿成灾难。,[]
经济学， 在最多的精英大学里都有课程 但这在我的语境中可以说是完全没有用的。,[]
我的国家 被毒品经济和黑手党所操控,[]
书本上的经济学并不能 在我的语境中发挥作用， 而且我几乎得不到任何建议。,[]
我们知识的贫穷 必将成为前进的 第一块基石。 而不是作用于数学模型基础上的 框架， 当然，我对此还是深怀敬意的。,[]
我的在约翰霍普金斯的同事是最好的。,"[('约翰霍普金斯', 'nr', 3, 4)]"
第二， 不要再无止境地去辩论 一个国家的结构是什么样的， 我们为什么不能将其简化， 而去讨论一个国家21世纪 必须具备的一系列功能是什么？,[]
克莱尔 洛克哈特和我正在就此写一本书 我们希望能彼此之间能够有更多的沟通与分享。 第三，我们实际上可以建立一个指数， 来测量 相比较之下，这些功能发挥得怎么样，是否令我们满意， 并且能推广到其他的地方。,"[('克莱尔 洛克哈特', 'nr', 0, 1)]"
那么这些功能是什么呢？,[]
我们来举10个例子。,[]
它们是：对暴力途径的合法化的垄断， 行政控制，公共财政管理 人力资金投资，民权保障 基础设施建设， 通过调控进行对国家有形与无形资产管理， 市场的创造， 国际合约 -- 包括公共借贷 -- 还有最重要的是，法律规范。,[]
我不会进一步阐述。,[]
我希望这些问题可以给予我一个机会。,[]
这是一个切实的目标， 因为与广泛的假设相反 我不认为我们知道该如何处理这件事。,[]
谁能想到德国 今天会变成联合或者民主的， 如果你从1943年的牛津的视角去看这个问题的话。,"[('德国', 'ns', 3, 4), ('牛津', 'ns', 17, 18)]"
但是牛津的人民为一个民主德国做好了准备， 并积极计划着。,"[('牛津', 'ns', 1, 2), ('民主德国', 'ns', 6, 7)]"
还有很多其他的例子。,[]
现在，为了做这件事， 我们必须重新思考资本的定义。,[]
最微不足道的一种资本形式是， 是财经资本 -- 金钱。,[]
金钱在众多发展中国家中不都不能算作是资本。,[]
它只是现金。,[]
因为它缺乏机制的， 组织的，管理的形式， 来将它转变为资本。,[]
而且它所需要的是 物理资本 与体制资本，人力资本的结合。 当然，安全性是至关重要的， 信息也是。,[]
现在，我们应该担忧的问题， 同时也是我希望给您们这群人 带来的挑战是 你们国家需要16年 来培养一个 有学士学历的人。,[]
20年来培养一个 有博士学位的人,[]
第一个挑战是要 从基本上进行重新思考 当代的问题。,[]
我们需要重复 我们所继承的方式吗？,[]
我们的教育系统是自19世纪传承而来的。,[]
为了从根本上重新投入到一个项目中， 什么是我们需要的呢， 在这个资本形成如此之快的当下？,[]
世界上的绝大多数人 都在20岁以下，而且他们正在变得 更多，成长得更快。,[]
他们需要不同的方式 不同的对待的方式。 不同的享有权利的方式。 不同的被训练的方式。,[]
这是首要的。,[]
第二，你们是问题的解决者， 但是你们没有尽到你们的全球性责任。,[]
你们已经远离了 腐败问题。,[]
你们只想看到干净的环境。,[]
但是你们没有彻底看透腐败的问题， 谁还能呢？,[]
你们避免为发展做规划。,[]
你们是伟大的设计师， 但是你们的设计是自私的。,[]
只是为了你们自己即时的用处。,[]
在我的世界，我与 那些道路、 堤坝、或者电力供应 的设计打交道， 这些设计已经有60年没有被重温了。,[]
这是不正确。需要我们来思考一下。,[]
更重要的是， 我们最需要的 是你们的想象力， 用想象力来解决问题 这是米姆本应产生作用的方式。,"[('米姆', 'nr', 21, 22)]"
而就范式的作用来说，在很久以前， 托马斯-坤的工作， 他的工作是 概念的内部分工中， 新的发展出现。,"[('托马斯', 'nr', 11, 12), ('坤', 'nr', 13, 14)]"
我希望这个组织，通过这些方式 可以有能力处理关于政府和国家的问题 以及给予这个世界占大多数的穷人 以权力。,[]
谢谢。,[]
（鼓掌） 克里斯 安德森：“那么，Ashraf先生，直到最近， 你一直是阿富汗的财政部长， 这是一个处在世界事务 中心的国家。,"[('克里斯 安德森', 'nr', 3, 4), ('阿富汗', 'ns', 17, 18)]"
这个国家真的能够完成（你所说的那些）吗？,[]
民主可否繁荣？什么使你最为生畏？,[]
Ashraf Ghani:“最令我害怕的，是你们， 是缺乏你们的积极参与。”,[]
你问了我。你知道我总是给出一些非传统的答案。,[]
不。但是说真的， 阿富汗的问题 必须首先被视作 一个至少10到20年的视角。,"[('阿富汗', 'ns', 6, 7)]"
今天，全球化 在加速。,[]
时间已经被压缩了。,[]
空间对于大多数人来说也已不再存在。,[]
但是在我的世界里， 你要知道，当我23年之后回到阿富汗的时候， 空间已经扩大了。,"[('阿富汗', 'ns', 17, 18)]"
所有可感知的社会基础设施被毁坏了。,[]
我旅行着， 原本需要花3个小时往返的城市 现在需要12个小时。,[]
所以，首先，当度量标准变了， 我们必须要认识到 基础设施就是这么简单的一些东西， 而要传递基础设施需要6年的时间。,[]
在我们的世界，,[]
所有像这样有意义的东西。,[]
但是注意力的情态 或者说今天发生了什么，明天将发生什么。,[]
"第二， 当一个国家 已经从属于最广泛、残忍的权力施行形式之一的时候， 我们连续10年， 拥有红军， 110,000个强壮的人 真的很吓人",[]
天空： 每一个阿富汗人 将天空视为恐惧的来源。,[]
我们几乎已经快被轰炸 给灭绝了。,[]
然后，成千上万的人被训练程恐怖分子， 什么方面的都有。,"[('程', 'nr', 7, 8)]"
