Original English Sentence,Tagged English Sentence,Original Chinese Sentence,Tagged Chinese Sentence
"The kind with the corrugated roof, you know.","The kind with the corrugated roof , you know .",那种?瓦楞屋?的。,那 种 ? 瓦 楞 屋 ? 的 。
"People, service, profit.","People , service , profit .",?就是人，服?，利?,? 就 是 人 ， 服 ? ， 利 ?
"And of course, in Italy where -- I mean, Italians always seem to know where to find their pleasure -- they've launched an official Slow Sex movement.","And of course , in <LOCATION>Italy <\LOCATION> where -- I mean , Italians always seem to know where to find their pleasure -- they 've launched an official Slow Sex movement .",?然，在意大利，我是?，意大利人看起??是知道 到哪去找?子 他?已??展了一?正式的慢速性生活??。,? 然 ， 在 意 大 利 ， 我 是 ? ， 意 大 利 人 看 起 ? ? 是 知 道 到 哪 去 找 ? 子 他 ? 已 ? ? 展 了 一 ? 正 式 的 慢 速 性 生 活 ? ? 。
This is a serious problem that we're losing our listening.,This is a serious problem that we 're losing our listening .,?失?听的能力是?很?重的??,? 失 ? 听 的 能 力 是 ? 很 ? 重 的 ? ?
"They hoped that this would contribute somehow to particle physics -- didn't. It didn't, by itself, contribute to particle physics.","They hoped that this would contribute somehow to particle physics -- did n't . It did n't , by itself , contribute to particle physics .",他?希望???粒子物理有某种?助。 然而它本身并?有?粒子物理有?助。,他 ? 希 望 ? ? ? 粒 子 物 理 有 某 种 ? 助 。 然 而 它 本 身 并 ? 有 ? 粒 子 物 理 有 ? 助 。
"It contains whether kids can talk to their parents, whether they have books at home, what immunization rates are like, whether there's bullying at school.","It contains whether kids can talk to their parents , whether they have books at home , what immunization rates are like , whether there 's bullying at school .",它包括儿童是否能与父母交?， 家中是否有??， 免疫率有多少，以及?校是否存在欺辱?象。,它 包 括 儿 童 是 否 能 与 父 母 交 ? ， 家 中 是 否 有 ? ? ， 免 疫 率 有 多 少 ， 以 及 ? 校 是 否 存 在 欺 辱 ? 象 。
Parallel universes.,Parallel universes .,平行宇宙。,平 行 宇 宙 。
It's real.,It 's real .,?是真的。,? 是 真 的 。
"Information on the Internet that could ensure survival along dangerous routes is being censored, and the provision of such information is becoming increasingly criminalized.","Information on the Internet that could ensure survival along dangerous routes is being censored , and the provision of such information is becoming increasingly criminalized .",网?上的那些 能确保在危?路? 上?播的信息 受到了?查， 而且提供?种信息的行? 逐??成一种犯罪。,网 ? 上 的 那 些 能 确 保 在 危 ? 路 ? 上 ? 播 的 信 息 受 到 了 ? 查 ， 而 且 提 供 ? 种 信 息 的 行 ? 逐 ? ? 成 一 种 犯 罪 。
"Transistors are getting smaller to allow this to happen, and technology has really benefitted from that.","Transistors are getting smaller to allow this to happen , and technology has really benefitted from that .",晶体管?得越?越小才使?一切得以?? 而技?更是得益于此,晶 体 管 ? 得 越 ? 越 小 才 使 ? 一 切 得 以 ? ? 而 技 ? 更 是 得 益 于 此
"But along the way, I've learned that it's not just the technical side, but there's also this thing called the culture of crap.","But along the way , I 've learned that it 's not just the technical side , but there 's also this thing called the culture of crap .",一路下?，我了解到 ?不?是一?技?方面的??， 更是一种被??大便文化的?西。,一 路 下 ? ， 我 了 解 到 ? 不 ? 是 一 ? 技 ? 方 面 的 ? ? ， 更 是 一 种 被 ? ? 大 便 文 化 的 ? 西 。
"In Russia, all war monuments have this beautiful inscription at the top.","In <LOCATION>Russia <\LOCATION> , all war monuments have this beautiful inscription at the top .",在俄?斯，所有的???念碑的?部,在 <GPE>俄 <\GPE> <GPE>? <\GPE> <GPE>斯 <\GPE> ， 所 有 的 ? ? ? 念 碑 的 ? 部
"And he thought, ""What if we do this?""","And he thought , `` What if we do this ? ''",接?他想到“要不我?也?么?？”,接 ? 他 想 到 “ 要 不 我 ? 也 ? 么 ? ？ ”
"Journalism was an answer to an even more important question, which is, how will society be informed?","Journalism was an answer to an even more important question , which is , how will society be informed ?",新?本身是一?更重要的??的答案， 那就是，信息要如何???社?？,新 ? 本 身 是 <MISC>一 <\MISC> ? 更 重 要 的 ? ? 的 答 案 ， 那 就 是 ， 信 息 要 如 何 ? ? ? 社 ? ？
"So I thought of a minimally invasive approach, and a new device that we call the Marrow Miner.","So I thought of a minimally invasive approach , and a new device that we call the Marrow Miner .",我就想到一?微?的?法。 ??新?明就是骨髓采集器。,我 就 想 到 <MISC>一 <\MISC> ? 微 ? 的 ? 法 。 ? ? 新 ? 明 就 是 骨 髓 采 集 器 。
"Everything you'll see here, except the car, is origami.","Everything you 'll see here , except the car , is origami .",除了?子， 你??看到的所有?西都是折?。,除 了 ? 子 ， 你 ? ? 看 到 的 所 有 ? 西 都 是 折 ? 。
"It took three more years to get it than we expected, and then there was no way it was going to get out there.","It took three more years to get it than we expected , and then there was no way it was going to get out there .",???划要比?期的多消耗了三年??， 但??有?法??目?。,? ? ? 划 要 比 ? 期 的 多 消 耗 了 <MISC>三 <\MISC> <MISC>年 <\MISC> ? ? ， 但 ? ? 有 ? 法 ? ? 目 ? 。
"So what's going on? Well, look.","So what 's going on ? Well , look .",??生了什么？好，接下?。,? ? 生 了 什 么 ？ 好 ， 接 下 ? 。
"Now we're looking down south, through the Kali Gandaki.","Now we 're looking down south , through the <LOCATION>Kali <\LOCATION> <LOCATION>Gandaki <\LOCATION> .",好，我?再透? Kali Gandaki 看看南部的地?,好 ， 我 ? 再 透 ? K a l i G a n d a k i 看 看 南 部 的 地 ?
"And three years later, it's still getting thousands of views every month.","And three years later , it 's still getting thousands of views every month .",之后的三年，每?月依然有几千次?看,之 后 的 <MISC>三 <\MISC> <MISC>年 <\MISC> ， 每 ? 月 依 然 有 几 <MISC>千 <\MISC> 次 ? 看
"CA: And at the time, you were kind of this hotshot entrepreneur, working with satellites.","CA : And at the time , you were kind of this hotshot entrepreneur , working with satellites .",克：那?候你算是?炙手可?的??者， 做?星方面的工作。,克 ： 那 ? 候 你 算 是 ? 炙 手 可 ? 的 ? ? 者 ， 做 ? 星 方 面 的 工 作 。
"In my own research, we saw that the peak for private email is actually 11 o'clock in the morning, whatever the country.","In my own research , we saw that the peak for private email is actually 11 o'clock in the morning , whatever the country .",就我自己的研究，我??私人??的高峰 ??上是早上的11?，不管什么?家。,就 我 自 己 的 研 究 ， 我 ? ? 私 人 ? ? 的 高 峰 ? ? 上 是 早 上 的 1 1 ? ， 不 管 什 么 ? 家 。
"And actually, you can easily download this jacket, and easily change the word to something else.","And actually , you can easily download this jacket , and easily change the word to something else .",??上，你可以直接 下??件?克， ?可以?意把里面的字 ?成其他?西。,? ? 上 ， 你 可 以 直 接 下 ? ? 件 ? 克 ， ? 可 以 ? 意 把 里 面 的 字 ? 成 其 他 ? 西 。
"After that, all bets are off.","After that , all bets are off .",在?之后，?什么好??的,在 ? 之 后 ， ? 什 么 好 ? ? 的
"They have a mall there, the Dubai Mall.","They have a mall there , the <LOCATION>Dubai <\LOCATION> <LOCATION>Mall <\LOCATION> .",那里有?迪拜?物中心。,那 里 有 ? 迪 拜 ? 物 中 心 。
"I was very limited by my condition, physically.","I was very limited by my condition , physically .",因???病，我在体能上受到了限制。,因 ? ? ? 病 ， 我 在 体 能 上 受 到 了 限 制 。
"This is a textile where they're doing shirts -- Youngor, the biggest shirt factory and clothing factory in China.","This is a textile where they 're doing shirts -- <PERSON>Youngor <\PERSON> , the biggest shirt factory and clothing factory in <LOCATION>China <\LOCATION> .",雅戈?，中?最大的成衣企?之一,<MISC>雅 <\MISC> <MISC>戈 <\MISC> <MISC>? <\MISC> ， 中 ? 最 大 的 成 衣 企 ? 之 一
The third thing I learned is the importance of verification.,The third thing I learned is the importance of verification .,第三，我?到核?的重要性。,第 三 ， 我 ? 到 核 ? 的 重 要 性 。
They found the perfect antidote to thought and the ideal refuge of the hard demands of real faith.,They found the perfect antidote to thought and the ideal refuge of the hard demands of real faith .,他??思考找到了最佳的解毒? ??真正的信仰的渴望提供理想的庇?,他 ? ? 思 考 找 到 了 最 佳 的 解 毒 ? ? ? 真 正 的 信 仰 的 渴 望 提 供 理 想 的 庇 ?
"And you may be familiar with the movie ""Contact,"" which sort of popularized that.","And you may be familiar with the movie `` Contact , '' which sort of popularized that .",你可能熟悉《超?空接触》?部?影， 正是?部?影使搜?外星智慧流行起?。,你 可 能 熟 悉 《 超 ? 空 接 触 》 ? 部 ? 影 ， 正 是 ? 部 ? 影 使 搜 ? 外 星 智 <PERSON>慧 <\PERSON> 流 行 起 ? 。
Drownings and asthma deaths don't get much coverage.,Drownings and asthma deaths do n't get much coverage .,因??溺水、哮喘?道的不多。,因 ? ? 溺 水 、 哮 喘 ? 道 的 不 多 。
And this particular set here can transmit something of the order of three to five terabits per second.,And this particular set here can transmit something of the order of three to five terabits per second .,?种特殊?? ?它能?在每秒???? 30-50兆的?据,? 种 特 殊 ? ? ? 它 能 ? 在 <MISC>每 <\MISC> <MISC>秒 <\MISC> <MISC>? <\MISC> <MISC>? <\MISC> ? ? 3 0 - 5 0 兆 的 ? 据
"So this little slide here shows you an optometrist and the little blue person represents about 10,000 people and that's the ratio in the U.K.","So this little slide here shows you an optometrist and the little blue person represents about 10,000 people and that 's the ratio in the <LOCATION>U.K <\LOCATION> .",幻?片上表示的是一位?光? 一??色小人代表大?一万人 ?是在英?的比例,幻 ? 片 上 表 示 的 是 一 位 ? 光 ? 一 ? ? 色 小 人 代 表 大 ? <MISC>一 <\MISC> <MISC>万 <\MISC> 人 ? 是 在 <GPE>英 <\GPE> ? 的 比 例
out of the Indian centers and how do they compare with the quality of the patents filed out of the U.S. centers?,out of the Indian centers and how do they compare with the quality of the patents filed out of the <LOCATION>U.S. <\LOCATION> centers ?,以及跟美?提交的那些 申?的含金量的差异,以 及 跟 <GPE>美 <\GPE> ? 提 交 的 那 些 申 ? 的 含 金 量 的 差 异
"In a few years, they will be in many of the objects and technologies we use on a daily basis.","In a few years , they will be in many of the objects and technologies we use on a daily basis .",几年?，它??被?用到很多 我?日常使用的物件和科技?品上。,<MISC>几 <\MISC> <MISC>年 <\MISC> <MISC>? <\MISC> ， 它 ? ? 被 ? 用 到 很 多 我 ? <GPE>日 <\GPE> 常 使 用 的 物 件 和 科 技 ? 品 上 。
The sea levels were dropping. And Africa was turning to desert.,The sea levels were dropping . And <LOCATION>Africa <\LOCATION> was turning to desert .,海平面下降，非洲?成了沙漠。,海 平 面 下 降 ， 非 洲 ? 成 了 沙 漠 。
"She was nursing, and one day a keeper took a cigarette break and he was looking into the window into their pool, smoking.","She was nursing , and one day a keeper took a cigarette break and he was looking into the window into their pool , smoking .",它?在哺乳期，有一天， 一????在抽?休息， 他一?抽??，一?透?玻璃 看?那些水里的海豚。,它 ? 在 哺 乳 期 ， 有 <MISC>一 <\MISC> <MISC>天 <\MISC> ， 一 ? ? ? ? 在 抽 ? 休 息 ， 他 一 ? 抽 ? ? ， 一 ? 透 ? 玻 璃 看 ? 那 些 水 里 的 海 豚 。
"Greece, you see, was only a preview of what is in store for us all.","<LOCATION>Greece <\LOCATION> , you see , was only a preview of what is in store for us all .",你所看到的希腊只是一??演 ?是我?所有人都?面?的景象,你 所 看 到 的 希 腊 只 是 <MISC>一 <\MISC> ? ? 演 ? 是 我 ? 所 有 人 都 ? 面 ? 的 景 象
And there are two commonly given reasons for why that happens.,And there are two commonly given reasons for why that happens .,至于?何?出???的?象 有??常?的理由,至 于 ? 何 ? 出 ? ? ? 的 ? 象 有 <MISC>? <\MISC> ? 常 ? 的 理 由
"So, for example, I was giving this talk recently in New York City, and I said, ""You know when you're on the subway and the other person across the subway car smiles at you, and you just instinctively smile back?""","So , for example , I was giving this talk recently in <LOCATION>New <\LOCATION> <LOCATION>York <\LOCATION> <LOCATION>City <\LOCATION> , and I said , `` You know when you 're on the subway and the other person across the subway car smiles at you , and you just instinctively smile back ? ''",打?比方??， 我最近在??市演?， 其中?到：“?你在地?上， ???面的人 向你微笑?， 你?下意?地回?以微笑。”,打 ? 比 方 ? ? ， 我 最 近 在 ? ? 市 演 ? ， 其 中 ? 到 ： “ ? 你 在 地 ? 上 ， ? ? ? 面 的 人 向 你 微 笑 ? ， 你 ? 下 意 ? 地 回 ? 以 微 笑 。 ”
"For all that it is raising hundreds of millions of people out of poverty in the emerging markets, it's also outsourcing a lot of jobs from the developed Western economies.","For all that it is raising hundreds of millions of people out of poverty in the emerging markets , it 's also outsourcing a lot of jobs from the developed Western economies .",?然它使?以百万? 的?展中?家人民?离?困 但它?西方?家中???的工作机? 向海外外包,? 然 它 使 ? 以 <MISC>百 <\MISC> 万 ? 的 ? 展 中 ? 家 人 民 ? 离 ? 困 但 它 ? 西 方 ? 家 中 ? ? ? 的 工 作 机 ? 向 海 外 外 包
I just never knew when.,I just never knew when .,只是不知道何??遭受下一次而已,只 是 不 知 道 何 ? ? 遭 受 下 一 次 而 已
Computer: A person sitting at a table with a cake.,Computer : A person sitting at a table with a cake .,?算机： ”一?人坐在放蛋糕的桌子旁。“,? 算 机 ： ” <MISC>一 <\MISC> <MISC>? <\MISC> <MISC>人 <\MISC> 坐 在 放 蛋 糕 的 桌 子 旁 。 “
"It's not that easy, you know?","It 's not that easy , you know ?",?并不??,? 并 不 ? ?
"If all my bridge coach ever told me was that I was ""satisfactory,"" I would have no hope of ever getting better.","If all my bridge coach ever told me was that I was `` satisfactory , '' I would have no hope of ever getting better .",如果我的?牌教?只跟我? 我的表?“令人?意”， 我永?也不可能?得更好。,如 果 我 的 ? 牌 教 ? 只 跟 我 ? 我 的 表 ? “ 令 人 ? 意 ” ， 我 永 ? 也 不 可 能 ? 得 更 好 。
"And it explains the vast right-wing conspiracy that's obviously developed around these licenses, as now more than 350 million digital objects are out there, licensed freely in this way.","And it explains the vast right-wing conspiracy that 's obviously developed around these licenses , as now more than 350 million digital objects are out there , licensed freely in this way .",?揭示了泛右翼??? 很明????些??不??展， 至今已有3?5000万?字作品 存在并允?自由使用 以??的方式。,? 揭 示 了 泛 右 翼 ? ? ? 很 明 ? ? ? ? 些 ? ? 不 ? ? 展 ， <MISC>至 <\MISC> <MISC>今 <\MISC> 已 有 <MISC>3 <\MISC> <MISC>? <\MISC> 5 0 0 0 万 ? 字 作 品 存 在 并 允 ? 自 由 使 用 以 ? ? 的 方 式 。
"And celebrate them: tell their stories, because not only are there good people doing good work, but their stories can help close these gaps of hope.","And celebrate them : tell their stories , because not only are there good people doing good work , but their stories can help close these gaps of hope .",?祝他?的成功，??人?述他?的事? ?不?是?祝他?做的好事情 而是他?的所作所?能??助填平“希望的??”,? 祝 他 ? 的 成 功 ， ? ? 人 ? 述 他 ? 的 事 ? ? 不 ? 是 ? 祝 他 ? 做 的 好 事 情 而 是 他 ? 的 所 作 所 ? 能 ? ? 助 填 平 “ 希 望 的 ? ? ”
"And later, in the mid-'80s, when ""Jeopardy"" came back on the air, I remember running home from school every day to watch the show.","And later , in the mid-'80s , when `` Jeopardy '' came back on the air , I remember running home from school every day to watch the show .",后?，在八十年代中期， ‘危?游?’又重新?播， 我?得每天??校跑回家?看。,后 ? ， 在 <MISC>八 <\MISC> <MISC>十 <\MISC> <MISC>年 <\MISC> 代 中 期 ， ‘ 危 ? 游 ? ’ 又 重 新 ? 播 ， 我 ? 得 每 天 ? ? 校 跑 回 家 ? 看 。
We may have to reinvent an ancient art form.,We may have to reinvent an ancient art form .,也?我?要?小?明??古老的??,也 ? 我 ? 要 ? 小 ? 明 ? ? 古 老 的 ? ?
"The opponents of same-sex marriage say that the purpose of marriage, fundamentally, is procreation, and that's what's worthy of honoring and recognizing and encouraging.","The opponents of same-sex marriage say that the purpose of marriage , fundamentally , is procreation , and that 's what 's worthy of honoring and recognizing and encouraging .",反?同性婚姻的人?，婚姻的根本目的是?宗接代 反?同性婚姻的人?，婚姻的根本目的是?宗接代 ?宗接代才是值得尊重、?可和鼓?的价值本? ?宗接代才是值得尊重、?可和鼓?的价值本?,反 ? 同 性 婚 姻 的 人 ? ， 婚 姻 的 根 本 目 的 是 ? 宗 接 代 反 ? 同 性 婚 姻 的 人 ? ， 婚 姻 的 根 本 目 的 是 ? 宗 接 代 ? 宗 接 代 才 是 值 得 尊 重 、 ? 可 和 鼓 ? 的 价 值 本 ? ? 宗 接 代 才 是 值 得 尊 重 、 ? 可 和 鼓 ? 的 价 值 本 ?
"Well, if anybody says country music isn't powerful, let me tell you this: I got there because my father's passion for Johnny Cash and a song, ""A Boy Named Sue.""","Well , if anybody says country music is n't powerful , let me tell you this : I got there because my father 's passion for <PERSON>Johnny <\PERSON> <PERSON>Cash <\PERSON> and a song , `` A Boy Named Sue . ''",如果有任何人??村音?影?力不?大， ?我告?你???： 我?上?村音? 是因?我父????翰尼·卡什 和那首“一?名叫?的男孩”。,如 果 有 任 何 人 ? ? 村 音 ? 影 ? 力 不 ? 大 ， ? 我 告 ? 你 ? ? ? ： 我 ? 上 ? 村 音 ? 是 因 ? 我 父 ? ? ? ? 翰 尼 · 卡 什 和 那 首 “ 一 ? 名 叫 <GPE>? <\GPE> 的 男 孩 ” 。
"For the first time in my life, I felt free, independent and completely in control of my life.","For the first time in my life , I felt free , independent and completely in control of my life .",有生以??一次 我感到自由 ?立 ?生活充?把握,有 生 以 ? ? <MISC>一 <\MISC> 次 我 感 到 自 由 ? 立 ? 生 活 充 ? 把 握
But ultimately we want to add everything onboard the robot.,But ultimately we want to add everything onboard the robot .,我?的最?目?是把一切都嵌入机器人?，,我 ? 的 最 ? 目 ? 是 把 一 切 都 嵌 入 机 器 人 ? ，
This is a fantastic map of online social collaboration between Perl developers.,This is a fantastic map of online social collaboration between <PERSON>Perl <\PERSON> developers .,??奇妙的?形展示了网?上 Perl ??者?的社群合作。,? ? 奇 妙 的 ? 形 展 示 了 网 ? 上 P e r l ? ? 者 ? 的 社 群 合 作 。
Now music revenues are down by about eight billion dollars a year So that's a chunk of what we're looking for.,Now music revenues are down by about eight billion dollars a year So that 's a chunk of what we 're looking for .,自??普斯特Napster出?之后 ?在音???的收入每年都下降80?元 所以?一?就是我?要研究的,自 ? ? <GPE>普 <\GPE> <GPE>斯 <\GPE> 特 N a p s t e r 出 ? 之 后 ? 在 音 ? ? ? 的 收 入 <MISC>每 <\MISC> <MISC>年 <\MISC> 都 下 降 8 <MISC>0 <\MISC> <MISC>? <\MISC> <MISC>元 <\MISC> 所 以 ? 一 ? 就 是 我 ? 要 研 究 的
"Too many lives in our lives already, too many chances for sorrow, too many unaccounted-for pasts.","Too many lives in our lives already , too many chances for sorrow , too many unaccounted-for pasts .",在我?的生活已?有太多的生命， 太多的悲? 太多以往的?往,在 我 ? 的 生 活 已 ? 有 太 多 的 生 命 ， 太 多 的 悲 ? 太 多 以 往 的 ? 往
People must have thought I was nuts.,People must have thought I was nuts .,人?一定以?我傻了。,人 ? 一 定 以 ? 我 傻 了 。
"So, throughout the year this beautiful system will give you some pleasure.","So , throughout the year this beautiful system will give you some pleasure .",所以，在全年里 ??美?的体系?周而复始的?你??不?的快?。,所 以 ， 在 <MISC>全 <\MISC> <MISC>年 <\MISC> 里 ? ? <GPE>美 <\GPE> <GPE>? <\GPE> 的 体 系 ? 周 而 复 始 的 ? 你 ? ? 不 ? 的 快 ? 。
"Now I don't know if this is the devil or the angel sitting on our conscience, sitting on television's shoulders, but I do know that I absolutely love this image.","Now I do n't know if this is the devil or the angel sitting on our conscience , sitting on television 's shoulders , but I do know that I absolutely love this image .",?在我也不确定是那?魔鬼?是天使 坐在我?的良知上 坐在??的肩膀上 但我知道我喜????片,? 在 我 也 不 确 定 是 那 ? 魔 鬼 ? 是 天 使 坐 在 我 ? 的 良 知 上 坐 在 ? ? 的 肩 膀 上 但 我 知 道 我 喜 ? ? ? ? 片
"You can see willful blindness in the Catholic Church, where decades of child abuse went ignored.","You can see willful blindness in the <ORGANIZATION>Catholic <\ORGANIZATION> <ORGANIZATION>Church <\ORGANIZATION> , where decades of child abuse went ignored .",在天主教堂里，你能看到“故意??”， 孩子?几十年遭受虐待的事?被??。,在 天 主 教 堂 里 ， 你 能 看 到 “ 故 意 ? ? ” ， 孩 子 ? <MISC>几 <\MISC> <MISC>十 <\MISC> <MISC>年 <\MISC> 遭 受 虐 待 的 事 ? 被 ? ? 。
"So I've got to do gaming, or I've got to do sports.""","So I 've got to do gaming , or I 've got to do sports . ''",所以我要去打游?，或者玩体育。”,所 以 我 要 去 打 游 ? ， 或 者 玩 体 育 。 ”
No -- low-income countries like Kenya still don't have that level of organization.,No -- low-income countries like <LOCATION>Kenya <\LOCATION> still do n't have that level of organization .,?有。像肯尼???的低收入?家 尚?有健全的??机构。,? 有 。 像 <GPE>肯 <\GPE> <GPE>尼 <\GPE> <GPE>? <\GPE> ? ? 的 低 收 入 ? 家 尚 ? 有 健 全 的 ? ? 机 构 。
"The toy was an absolute flop, and it was almost completely forgotten and what that means is that the billy possum didn't even make it to Christmastime, which when you think about it is a special sort of tragedy for a toy.","The toy was an absolute flop , and it was almost completely forgotten and what that means is that the billy possum did n't even make it to Christmastime , which when you think about it is a special sort of tragedy for a toy .",??玩具?底地失?了 到那年的年底 它几乎完全地被?忘了 ?意味?比利?鼠 甚至?有持久到圣?? 你可以想像 ??一?玩具??是?悲催的??,? ? 玩 具 ? 底 地 失 ? 了 到 <MISC>那 <\MISC> <MISC>年 <\MISC> <MISC>的 <\MISC> <MISC>年 <\MISC> <MISC>底 <\MISC> 它 几 乎 完 全 地 被 ? 忘 了 ? 意 味 ? 比 利 ? 鼠 甚 至 ? 有 持 久 到 圣 ? ? 你 可 以 想 像 ? ? 一 ? 玩 具 ? ? 是 ? 悲 催 的 ? ?
We are now taking control of our own evolution.,We are now taking control of our own evolution .,我??在在?的是控制我?自己的?化。,我 ? ? 在 在 ? 的 是 控 制 我 ? 自 己 的 ? 化 。
I flew in one night and took this picture.,I flew in one night and took this picture .,有天晚上我坐?机?去照了??照片,有 <MISC>天 <\MISC> <MISC>晚 <\MISC> 上 我 坐 ? 机 ? 去 照 了 ? ? 照 片
Why not build a virtual laboratory simulator?,Why not build a virtual laboratory simulator ?,?什么不建一台 ??的??室模?器呢？,? 什 么 不 建 一 台 ? ? 的 ? ? 室 模 ? 器 呢 ？
"I was just staggered by it. So we scanned their brains, looking at a photograph of their sweetheart and looking at a neutral photograph, with a distraction task in between.","I was just staggered by it . So we scanned their brains , looking at a photograph of their sweetheart and looking at a neutral photograph , with a distraction task in between .",???的回答，我感到很震惊。 我?他?先看一幅?人的照片， 然后再?他?看一幅不相?的照片，并??了他?大?的活?,? ? ? 的 回 答 ， 我 感 到 很 震 惊 。 我 ? 他 ? 先 看 一 幅 ? 人 的 照 片 ， 然 后 再 ? 他 ? 看 一 幅 不 相 ? 的 照 片 ， 并 ? ? 了 他 ? 大 ? 的 活 ?
"Perhaps Brazil comes in as a participant, and Spain as well. And perhaps Cuba wants to be one of the partners in a four-way joint venture.","Perhaps <LOCATION>Brazil <\LOCATION> comes in as a participant , and <LOCATION>Spain <\LOCATION> as well . And perhaps <LOCATION>Cuba <\LOCATION> wants to be one of the partners in a four-way joint venture .",也?巴西也???? ?有西班牙。也?古巴想要 成?四?合作的一?,也 ? <GPE>巴 <\GPE> <GPE>西 <\GPE> 也 ? ? ? ? ? 有 西 班 牙 。 也 ? 古 <GPE>巴 <\GPE> 想 要 成 ? <MISC>四 <\MISC> ? 合 作 的 一 ?
And it would clean your clothes.,And it would clean your clothes .,它?清洁你的衣服,它 ? 清 洁 你 的 衣 服
"In some ways, art can change the world.","In some ways , art can change the world .",某种程度上?，??能?改?世界。,某 种 程 度 上 ? ， ? ? 能 ? 改 ? 世 界 。
"Well, we're all equally sophisticated.","Well , we 're all equally sophisticated .",好，我?都同?高?。,好 ， 我 ? 都 同 ? 高 ? 。
