cctv/00/cctv_0000 CCTV4_ACROSSCHINA_CMN_20050812_150501
p2.5_cmn/00/p2.5_cmn_0011 CCTV4_TDYFOCUS_CMN_20061201_082800-S1
p2.5_cmn/00/p2.5_cmn_0012 CCTV4_TDYFOCUS_CMN_20061207_082800-S9
p2.5_cmn/00/p2.5_cmn_0013 CCTV4_TDYFOCUS_CMN_20061211_082800-S1
p2.5_cmn/00/p2.5_cmn_0014 CCTV4_TDYFOCUS_CMN_20061218_082801-S1
p2.5_cmn/00/p2.5_cmn_0015 CCTV4_TDYFOCUS_CMN_20061218_082801-S2
p2.5_cmn/00/p2.5_cmn_0016 CCTV4_TDYFOCUS_CMN_20061218_082801-S3
p2.5_cmn/00/p2.5_cmn_0017 CCTV4_TDYFOCUS_CMN_20061218_082801-S7
p2.5_cmn/00/p2.5_cmn_0018 CCTV4_TDYFOCUS_CMN_20061218_082801-S8
p2.5_cmn/00/p2.5_cmn_0019 CCTV4_TDYFOCUS_CMN_20061218_082801-S9
p2.5_cmn/00/p2.5_cmn_0020 CCTVNEWS_PEOPLEINNEWS_CMN_20061124_215701-S1
p2.5_cmn/00/p2.5_cmn_0021 CCTVNEWS_PEOPLEINNEWS_CMN_20061127_215701-S1
p2.5_cmn/00/p2.5_cmn_0022 CCTVNEWS_PEOPLEINNEWS_CMN_20061127_215701-S2
p2.5_cmn/00/p2.5_cmn_0023 CCTVNEWS_PEOPLEINNEWS_CMN_20061127_215701-S3
p2.5_cmn/00/p2.5_cmn_0025 CCTVNEWS_PEOPLEINNEWS_CMN_20061127_215701-S5
p2.5_cmn/00/p2.5_cmn_0026 CCTVNEWS_PEOPLEINNEWS_CMN_20061127_215701-S6
p2.5_cmn/00/p2.5_cmn_0027 CCTVNEWS_PEOPLEINNEWS_CMN_20061127_215701-S7
p2.5_cmn/00/p2.5_cmn_0028 CCTVNEWS_PEOPLEINNEWS_CMN_20061127_215701-S8
p2.5_cmn/00/p2.5_cmn_0029 CCTVNEWS_PEOPLEINNEWS_CMN_20061127_215701-S9
p2.5_cmn/00/p2.5_cmn_0030 CCTVNEWS_PEOPLEINNEWS_CMN_20061129_215701-S1
p2.5_cmn/00/p2.5_cmn_0031 CCTVNEWS_PEOPLEINNEWS_CMN_20061129_215701-S8
p2.5_cmn/00/p2.5_cmn_0032 CCTVNEWS_PEOPLEINNEWS_CMN_20061129_215701-S9
p2.5_cmn/00/p2.5_cmn_0033 CCTVNEWS_PEOPLEINNEWS_CMN_20061205_215701-S1
p2.5_cmn/00/p2.5_cmn_0034 CCTVNEWS_PEOPLEINNEWS_CMN_20061205_215701-S2
p2.5_cmn/00/p2.5_cmn_0035 CCTVNEWS_PEOPLEINNEWS_CMN_20061205_215701-S3
p2.5_cmn/00/p2.5_cmn_0036 CCTVNEWS_PEOPLEINNEWS_CMN_20061205_215701-S8
p2.5_cmn/00/p2.5_cmn_0037 CCTVNEWS_PEOPLEINNEWS_CMN_20061205_215701-S9
p2.5_cmn/00/p2.5_cmn_0038 CCTVNEWS_PEOPLEINNEWS_CMN_20061207_215701-S1
p2.5_cmn/00/p2.5_cmn_0039 CCTVNEWS_PEOPLEINNEWS_CMN_20061207_215701-S9
p2.5_cmn/00/p2.5_cmn_0040 CCTVNEWS_PEOPLEINNEWS_CMN_20061212_215701-S1
p2.5_cmn/00/p2.5_cmn_0041 CCTVNEWS_PEOPLEINNEWS_CMN_20061213_215701-S1
p2.5_cmn/00/p2.5_cmn_0042 CCTVNEWS_PEOPLEINNEWS_CMN_20061215_215701-S1
p2.5_cmn/00/p2.5_cmn_0043 CCTVNEWS_PEOPLEINNEWS_CMN_20061215_215701-S9
p2.5_cmn/00/p2.5_cmn_0044 NTDTV_FOCUSINT_CMN_20061219_091300-S1
p2.5_cmn/00/p2.5_cmn_0045 NTDTV_FOCUSINT_CMN_20061219_091300-S8
p2.5_cmn/00/p2.5_cmn_0046 NTDTV_FOCUSINT_CMN_20061219_091300-S9
p2.5_cmn/00/p2.5_cmn_0047 NTDTV_FOCUSINT_CMN_20061221_091300-S1
p2.5_cmn/00/p2.5_cmn_0048 NTDTV_NTDNEWS12_CMN_20061201_115801-S1
p2.5_cmn/00/p2.5_cmn_0049 PHOENIX_BEHINDHL_CMN_20061205_052800-S1
p2.5_cmn/00/p2.5_cmn_0050 PHOENIX_BEHINDHL_CMN_20061205_052800-S2
p2.5_cmn/00/p2.5_cmn_0051 PHOENIX_BEHINDHL_CMN_20061205_052800-S3
p2.5_cmn/00/p2.5_cmn_0052 PHOENIX_BEHINDHL_CMN_20061209_052800-S1
p2.5_cmn/00/p2.5_cmn_0053 PHOENIX_DATELUYU_CMN_20061213_142800-S1
p2.5_cmn/00/p2.5_cmn_0054 PHOENIX_DATELUYU_CMN_20061213_142800-S2
p2.5_cmn/00/p2.5_cmn_0055 PHOENIX_DATELUYU_CMN_20061213_142800-S3
p2.5_cmn/00/p2.5_cmn_0056 PHOENIX_DATELUYU_CMN_20061213_142800-S4
p2.5_cmn/00/p2.5_cmn_0057 PHOENIX_NEWSLINE_CMN_20061127_114800-S1
p2.5_cmn/00/p2.5_cmn_0058 PHOENIX_NEWSLINE_CMN_20061127_114800-S9
p2.5_cmn/00/p2.5_cmn_0059 PHOENIX_PHNXWRLD_CMN_20061127_111800-S1
p2.5_cmn/00/p2.5_cmn_0060 PHOENIX_PHNXWRLD_CMN_20061127_111800-S9
p2.5_cmn/00/p2.5_cmn_0061 PHOENIX_PHNXWRLD_CMN_20061205_111801-S1
